Date,AAPL,MSFT,GOOG,AMZN,NVDA,META,JPM,GS,BAC,JNJ,UNH,PFE,KO,PG,NKE,WMT,XOM,CVX,CAT,HON,UPS,DIS,NFLX,TSLA,COST
2021-05-10,123.761200,237.183929,116.129585,159.524506,14.229883,303.587646,142.810806,326.953156,37.240772,147.859497,386.325043,31.358402,47.309620,122.128700,126.438789,44.121727,51.671455,88.975281,222.262817,196.453262,174.498886,180.059708,48.668999,209.679993,361.939819
2021-05-11,122.844093,236.272308,114.497978,161.195496,14.270284,304.143219,140.436813,319.184662,36.815659,146.652451,377.889740,30.957172,46.801281,121.525452,127.106140,43.723820,50.028332,86.644707,219.230438,194.939087,173.045578,177.490204,49.507999,205.733337,358.808899
2021-05-12,119.780548,229.334732,111.042351,157.597000,13.723910,300.194214,139.471268,314.289337,36.470280,146.061920,372.079559,31.224657,46.560040,120.239151,123.648567,42.592728,50.296406,87.188789,217.416473,187.180984,170.114807,173.758102,48.498001,196.630005,353.135223
2021-05-13,121.926994,233.201767,112.177528,158.073502,13.630895,302.883148,143.058823,318.200256,37.054798,147.590271,375.007568,31.547209,46.964989,122.173065,123.852524,43.313374,49.676502,86.628471,219.935852,191.085022,174.127487,174.236816,48.666000,190.563339,360.089752
2021-05-14,124.346588,238.114716,114.864975,161.145004,14.207194,313.479950,145.282242,327.033020,37.515312,147.816055,376.145813,31.484268,47.154530,122.430328,126.003075,43.714424,50.907948,88.894058,221.914658,194.228775,174.700699,169.703583,49.337002,196.580002,364.729248
2021-05-17,123.195305,235.264862,115.125336,163.519501,14.129887,313.003754,145.866867,327.458649,37.851856,147.963669,375.071808,31.555082,47.076988,122.181931,126.448036,43.517017,52.097496,89.982193,224.259949,193.468475,174.628021,166.166870,48.894001,192.276672,364.292816
2021-05-18,121.809914,233.249741,114.233643,161.613998,13.980513,307.546539,143.811768,323.299438,37.338188,148.015793,376.678162,31.507870,46.818516,120.931084,125.660095,44.463245,50.623116,87.277870,219.386139,189.923248,172.771088,165.776077,48.627998,192.623337,363.201660
2021-05-19,121.653778,233.826813,114.495499,161.589996,14.030387,311.148285,142.713379,317.818970,37.169926,147.694519,375.870422,31.334797,46.672039,121.179497,123.249985,44.466393,49.408424,84.828377,217.004196,189.068909,173.061737,165.375504,48.770000,187.820007,360.213104
2021-05-20,124.210007,237.058380,116.845200,162.384003,14.575763,316.129150,142.465347,319.060486,37.081360,148.554169,375.081055,31.562939,47.085613,122.421463,123.537338,44.623047,49.291145,85.124298,215.281876,189.760910,172.730698,167.417419,50.167000,195.593338,363.932312
2021-05-21,122.375793,235.798492,116.300171,160.154007,14.954060,313.767700,144.086411,324.807068,37.550739,148.458633,377.825500,31.429205,47.059757,122.421463,122.971893,44.413124,49.358162,85.584618,217.343185,190.675003,171.878876,168.433487,49.789001,193.626663,361.218719
2021-05-24,124.005104,241.194000,119.353622,162.249496,15.572752,322.102295,144.865891,326.607361,37.754433,149.026611,377.201324,31.319063,47.214848,122.385971,124.269676,44.416256,49.936192,86.801140,219.001358,192.212692,173.144455,170.299545,50.290001,202.146667,363.808929
2021-05-25,123.809975,242.098114,119.472641,162.952499,15.608411,325.237732,143.368896,323.255157,37.205341,148.615967,379.128784,30.941439,47.206230,122.802895,124.510651,44.597984,48.805267,85.379105,217.279053,191.392563,171.570663,172.116760,50.133999,201.563339,365.640137
2021-05-26,123.761200,241.876877,120.685661,163.257996,15.660528,325.108765,143.351120,325.817993,37.231915,147.733444,379.275696,30.618883,47.413017,122.527901,126.892967,44.544716,49.374924,85.584618,217.773758,191.589035,173.452682,172.409836,50.236000,206.376663,365.867767
